Survived,Pclass,Age,SibSp,Parch,Fare,HasCabin,Embarked_C,Embarked_Q,Embarked_S,Sex_LabelEnc,Fare_log
0,3,37.0,2,0,7.925,0,0,0,1,1,2.188856327665703
0,3,28.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
1,3,21.0,0,0,7.65,0,0,0,1,0,2.157559320943788
0,3,38.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
0,1,47.0,0,0,52.0,1,0,0,1,1,3.970291913552122
0,3,14.5,1,0,14.4542,0,1,0,0,0,2.737880811060884
0,3,22.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,20.0,1,0,9.825,0,0,0,1,0,2.3818582738885534
0,3,17.0,0,0,14.4583,0,1,0,0,0,2.738146075922933
0,3,21.0,0,0,7.925,0,0,0,1,1,2.188856327665703
0,2,29.0,1,0,21.0,0,0,0,1,1,3.091042453358316
0,3,2.0,4,2,31.275,0,0,0,1,0,3.4742929367327062
0,2,32.5,1,0,30.0708,0,1,0,0,1,3.436268471383741
1,2,32.5,0,0,13.0,1,0,0,1,0,2.6390573296152584
1,3,12.0,1,0,11.2417,0,1,0,0,1,2.5048481563289
1,3,24.0,0,0,7.1417,0,0,0,1,1,2.0969990034181696
0,3,45.0,0,0,6.975,0,0,0,1,1,2.076311648670908
0,3,33.0,0,0,7.8958,0,1,0,0,1,2.1855792552411137
0,3,20.0,0,0,7.05,0,0,0,1,1,2.0856720914304723
0,3,47.0,1,0,14.5,0,0,0,1,0,2.740840023925201
1,2,29.0,1,0,26.0,0,0,0,1,0,3.295836866004329
0,2,25.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,2,23.0,0,0,15.0458,0,1,0,0,1,2.775447133088262
1,1,19.0,0,2,26.2833,1,0,0,1,0,3.3062747934011893
0,1,37.0,1,0,53.1,1,0,0,1,1,3.9908341858524357
0,3,16.0,0,0,9.2167,0,0,0,1,1,2.3240236363515288
1,3,22.0,0,0,7.75,0,0,0,1,0,2.169053700369523
1,3,24.0,1,0,15.85,0,0,0,1,0,2.8243506567983707
0,3,19.0,0,0,6.75,0,0,1,0,1,2.0476928433652555
0,2,18.0,0,0,11.5,0,0,0,1,1,2.5257286443082556
0,2,19.0,1,1,36.75,0,0,0,1,1,3.6309854756950335
1,3,27.0,0,0,7.7958,0,0,0,1,1,2.174274334826008
0,3,9.0,2,2,34.375,0,0,0,1,0,3.5660053559634015
0,2,36.5,0,2,26.0,1,0,0,1,1,3.295836866004329
0,2,42.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,2,51.0,0,0,12.525,0,0,0,1,1,2.6045398247325453
1,1,22.0,1,0,66.6,1,0,0,1,0,4.213607983048918
0,3,55.5,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,40.5,0,2,14.5,0,0,0,1,1,2.740840023925201
0,1,51.0,0,1,61.3792,0,1,0,0,1,4.133231886474144
1,3,16.0,0,0,7.7333,0,0,1,0,0,2.167143305297764
0,3,30.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,44.0,0,1,16.1,0,0,0,1,1,2.8390784635086144
1,2,40.0,0,0,15.75,0,0,0,1,0,2.8183982582710754
0,3,26.0,0,0,7.775,0,0,0,1,1,2.1719067693519296
0,3,17.0,0,0,8.6625,0,0,0,1,1,2.2682524139135403
0,3,1.0,4,1,39.6875,0,0,0,1,1,3.705920919968788
1,3,9.0,0,2,20.525,0,0,0,1,1,3.0692150503137943
0,3,45.0,1,4,27.9,0,0,0,1,0,3.3638415951183864
0,3,28.0,0,0,56.4958,0,0,0,1,1,4.05171190165724
0,1,61.0,0,0,33.5,1,0,0,1,1,3.5409593240373143
0,3,4.0,4,1,29.125,0,0,1,0,1,3.405355391810819
1,3,1.0,1,1,11.1333,0,0,0,1,0,2.495953738718064
0,3,21.0,0,0,7.925,0,0,0,1,1,2.188856327665703
0,1,56.0,0,0,30.6958,1,1,0,0,1,3.4561841799918147
0,3,18.0,1,1,7.8542,0,0,0,1,1,2.180891922715322
0,1,50.0,0,0,28.7125,1,1,0,0,0,3.391567832686312
0,2,30.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,3,36.0,0,0,0.0,0,0,0,1,1,0.0
0,3,9.0,4,2,31.3875,0,0,0,1,1,3.4777725458882283
1,2,1.0,2,1,39.0,1,0,0,1,1,3.6888794541139363
1,3,4.0,0,2,22.025,0,0,0,1,0,3.1365805821413706
1,1,45.0,0,0,26.55,0,0,0,1,1,3.3160025355989236
0,3,40.0,1,1,15.5,0,0,1,0,1,2.803360380906535
0,3,36.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
1,2,32.0,0,0,13.0,0,0,0,1,0,2.6390573296152584
0,2,19.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
1,3,19.0,1,0,7.8542,0,0,0,1,0,2.180891922715322
1,2,3.0,1,1,26.0,1,0,0,1,1,3.295836866004329
1,1,44.0,0,0,27.7208,1,1,0,0,0,3.357621598945279
0,3,42.0,0,1,8.4042,0,0,0,1,1,2.2411563979973974
0,2,24.0,0,0,13.0,0,0,0,1,0,2.6390573296152584
0,3,28.0,0,0,9.5,0,0,0,1,1,2.3513752571634776
0,3,34.0,0,0,6.4958,0,0,0,1,1,2.0143428636837015
0,3,45.5,0,0,7.225,0,1,0,0,1,2.1071782966514356
1,3,18.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,2.0,0,1,10.4625,1,0,0,1,0,2.4390808375825834
0,3,32.0,1,0,15.85,0,0,0,1,1,2.8243506567983707
1,3,26.0,0,0,18.7875,0,1,0,0,1,2.9850504252071306
1,3,16.0,0,0,7.75,0,0,1,0,0,2.169053700369523
1,1,40.0,0,0,31.0,1,1,0,0,1,3.4657359027997265
0,3,24.0,0,0,7.05,0,0,0,1,1,2.0856720914304723
1,2,35.0,0,0,21.0,0,0,0,1,0,3.091042453358316
0,3,22.0,0,0,7.25,0,0,0,1,1,2.1102132003465894
0,2,30.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
1,3,27.0,0,0,7.925,0,0,0,1,0,2.188856327665703
0,2,42.0,1,0,27.0,0,0,0,1,1,3.332204510175204
0,2,30.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
1,3,16.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,2,27.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,3,51.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,22.0,0,0,9.35,0,0,0,1,1,2.336986519711378
1,2,19.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
0,3,20.5,0,0,7.25,0,0,0,1,1,2.1102132003465894
0,2,18.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,3,29.0,0,0,7.775,0,0,0,1,1,2.1719067693519296
0,2,59.0,0,0,13.5,0,0,0,1,1,2.6741486494265287
1,3,5.0,4,2,31.3875,0,0,0,1,0,3.4777725458882283
0,2,24.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
0,2,44.0,1,0,26.0,0,0,0,1,1,3.295836866004329
1,2,8.0,0,2,26.25,0,0,0,1,0,3.305053521109253
0,2,19.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
0,2,33.0,0,0,12.275,0,0,0,1,1,2.5858825671280026
0,2,29.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
0,3,22.0,0,0,7.125,0,0,0,1,1,2.094945728215801
0,3,30.0,0,0,7.225,0,1,0,0,1,2.1071782966514356
0,3,25.0,0,0,7.775,0,0,0,1,0,2.1719067693519296
1,2,24.0,0,2,14.5,0,0,0,1,0,2.740840023925201
1,1,37.0,1,1,52.5542,1,0,0,1,1,3.9806942251907276
0,2,54.0,1,0,26.0,0,0,0,1,1,3.295836866004329
0,3,29.0,1,1,10.4625,1,0,0,1,0,2.4390808375825834
0,1,62.0,0,0,26.55,1,0,0,1,1,3.3160025355989236
0,3,30.0,1,0,16.1,0,0,0,1,1,2.8390784635086144
0,3,41.0,0,2,20.2125,0,0,0,1,0,3.0545906305603445
1,3,29.0,0,2,15.2458,0,1,0,0,0,2.7878344138303452
1,2,50.0,0,1,26.0,0,0,0,1,0,3.295836866004329
1,3,3.0,4,2,31.3875,0,0,0,1,1,3.4777725458882283
0,1,40.0,0,0,0.0,1,0,0,1,1,0.0
0,2,36.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
0,3,16.0,4,1,39.6875,0,0,0,1,1,3.705920919968788
1,3,25.0,1,0,7.775,0,0,0,1,1,2.1719067693519296
1,3,25.0,0,0,0.0,0,0,0,1,1,0.0
1,2,41.0,0,1,19.5,0,0,0,1,0,3.0204248861443626
0,1,37.0,0,1,29.7,1,1,0,0,1,3.4242626545931514
0,3,45.0,0,0,7.75,0,0,0,1,0,2.169053700369523
0,3,7.0,4,1,29.125,0,0,1,0,1,3.405355391810819
1,3,35.0,1,1,20.25,0,0,0,1,0,3.056356895370426
0,3,28.0,0,0,7.8542,0,0,0,1,1,2.180891922715322
0,3,16.0,0,0,9.5,0,0,0,1,1,2.3513752571634776
1,3,19.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,33.0,0,0,8.6625,0,1,0,0,1,2.2682524139135403
1,3,30.0,0,0,9.5,0,0,0,1,1,2.3513752571634776
0,3,22.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
1,2,42.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
1,3,22.0,0,0,7.75,0,0,1,0,0,2.169053700369523
0,2,36.0,0,0,12.875,1,1,0,0,1,2.630088659632498
0,3,24.0,0,0,8.85,0,0,0,1,0,2.2874714551839976
0,3,24.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
0,3,23.5,0,0,7.2292,0,1,0,0,1,2.1076888046179385
0,3,19.0,0,0,0.0,0,0,0,1,1,0.0
0,2,30.0,1,0,24.0,0,1,0,0,1,3.2188758248682006
1,1,30.0,0,0,56.9292,1,1,0,0,0,4.0592215752427645
0,2,26.0,1,1,26.0,0,0,0,1,0,3.295836866004329
0,3,28.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
0,2,43.0,1,1,26.25,0,0,0,1,1,3.305053521109253
1,3,26.0,0,0,7.8542,0,0,0,1,0,2.180891922715322
1,2,24.0,1,0,26.0,0,0,0,1,0,3.295836866004329
0,2,54.0,0,0,14.0,0,0,0,1,1,2.70805020110221
0,3,22.0,0,0,7.25,0,0,0,1,1,2.1102132003465894
0,3,27.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
1,2,30.0,0,0,12.35,0,0,1,0,0,2.5915163848462583
1,2,22.0,1,1,29.0,0,0,0,1,0,3.4011973816621555
0,3,61.0,0,0,6.2375,0,0,0,1,1,1.9792758428991135
1,2,36.0,0,0,13.0,1,0,0,1,0,2.6390573296152584
1,3,31.0,1,1,20.525,0,0,0,1,0,3.0692150503137943
1,1,16.0,0,1,57.9792,1,1,0,0,0,4.077184839375167
0,1,45.5,0,0,28.5,1,0,0,1,1,3.3843902633457743
0,3,16.0,2,0,18.0,0,0,0,1,1,2.9444389791664403
0,1,29.0,1,0,66.6,1,0,0,1,1,4.213607983048918
1,3,45.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,1,45.0,0,0,35.5,1,0,0,1,1,3.597312260588446
1,2,2.0,1,1,26.0,1,0,0,1,1,3.295836866004329
0,2,28.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,2,25.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,2,36.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
1,2,24.0,0,0,13.0,1,0,0,1,0,2.6390573296152584
1,2,40.0,0,0,13.0,0,0,0,1,0,2.6390573296152584
1,3,3.0,1,1,15.9,0,0,0,1,1,2.8273136219290276
0,3,42.0,0,0,8.6625,0,0,0,1,1,2.2682524139135403
0,3,23.0,0,0,9.225,0,0,0,1,1,2.3248357019288655
0,3,15.0,1,1,7.2292,0,1,0,0,1,2.1076888046179385
0,3,25.0,1,0,17.8,0,0,0,1,1,2.9338568698359038
0,3,28.0,0,0,9.5,0,0,0,1,1,2.3513752571634776
1,1,22.0,0,1,55.0,1,0,0,1,0,4.02535169073515
0,2,38.0,0,0,13.0,0,0,0,1,0,2.6390573296152584
0,3,40.0,1,4,27.9,0,0,0,1,1,3.3638415951183864
0,2,29.0,1,0,27.7208,0,1,0,0,1,3.357621598945279
0,3,45.0,0,1,14.4542,0,1,0,0,0,2.737880811060884
0,3,35.0,0,0,7.05,0,0,0,1,1,2.0856720914304723
0,3,30.0,0,0,7.25,0,0,0,1,1,2.1102132003465894
1,1,24.0,0,0,69.3,1,1,0,0,0,4.252771798816619
1,1,25.0,1,0,55.4417,1,1,0,0,1,4.0332082470129285
0,3,18.0,1,0,6.4958,0,0,0,1,1,2.0143428636837015
0,3,19.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,3.0,3,1,21.075,0,0,0,1,0,3.0944457464900235
1,3,22.0,0,0,7.25,0,0,0,1,0,2.1102132003465894
0,3,20.0,0,0,4.0125,0,1,0,0,1,1.6119347926326877
0,3,19.0,0,0,7.775,0,0,0,1,1,2.1719067693519296
1,3,1.0,0,2,15.7417,0,1,0,0,0,2.817902613071225
0,3,32.0,0,0,7.925,0,0,0,1,1,2.188856327665703
1,1,35.0,1,0,52.0,0,0,0,1,0,3.970291913552122
0,3,1.0,5,2,46.9,0,0,0,1,1,3.8691155044168695
1,2,36.0,0,0,13.0,0,0,0,1,0,2.6390573296152584
1,2,17.0,0,0,12.0,0,1,0,0,0,2.5649493574615367
1,3,21.0,0,0,7.7958,0,0,0,1,1,2.174274334826008
0,3,28.0,2,0,7.925,0,0,0,1,1,2.188856327665703
1,3,24.0,0,2,16.7,1,0,0,1,0,2.8735646395797834
0,3,22.0,0,0,7.7958,0,0,0,1,1,2.174274334826008
0,3,31.0,0,0,7.8542,0,0,0,1,0,2.180891922715322
0,2,46.0,0,0,26.0,0,0,0,1,1,3.295836866004329
0,2,23.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
1,2,28.0,0,0,12.65,0,0,0,1,0,2.613739521630969
1,3,39.0,0,0,7.925,0,0,0,1,1,2.188856327665703
0,3,26.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,21.0,1,0,9.825,0,0,0,1,0,2.3818582738885534
0,3,28.0,1,0,15.85,0,0,0,1,1,2.8243506567983707
0,3,20.0,0,0,8.6625,0,0,0,1,0,2.2682524139135403
0,2,34.0,1,0,21.0,0,0,0,1,1,3.091042453358316
0,3,51.0,0,0,7.75,0,0,0,1,1,2.169053700369523
1,2,3.0,1,1,18.75,0,0,0,1,1,2.9831534913471307
0,3,21.0,0,0,7.775,0,0,0,1,1,2.1719067693519296
1,3,44.0,0,0,7.925,0,0,0,1,1,2.188856327665703
1,2,34.0,1,1,32.5,0,0,0,1,0,3.5115454388310208
1,2,18.0,0,2,13.0,0,0,0,1,0,2.6390573296152584
0,2,30.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,3,10.0,0,2,24.15,0,0,0,1,0,3.224857896545748
0,3,21.0,0,0,7.7333,0,0,1,0,1,2.167143305297764
0,3,29.0,0,0,7.875,0,0,0,1,1,2.1832383353614797
0,3,28.0,1,1,14.4,0,0,0,1,0,2.7343675094195836
0,3,18.0,1,1,20.2125,0,0,0,1,1,3.0545906305603445
1,2,28.0,1,0,26.0,0,0,0,1,0,3.295836866004329
1,2,19.0,0,0,26.0,0,0,0,1,0,3.295836866004329
1,3,32.0,0,0,8.05,1,0,0,1,1,2.2027647577118348
1,1,28.0,0,0,26.55,1,0,0,1,1,3.3160025355989236
1,2,42.0,1,0,26.0,0,0,0,1,0,3.295836866004329
0,3,17.0,0,0,7.125,0,0,0,1,1,2.094945728215801
0,1,50.0,1,0,55.9,1,0,0,1,1,4.041295341132285
0,3,21.0,2,2,34.375,0,0,0,1,0,3.5660053559634015
1,2,24.0,2,3,18.75,0,0,0,1,0,2.9831534913471307
0,2,31.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
1,2,45.0,1,1,26.25,0,0,0,1,0,3.305053521109253
0,3,20.0,0,0,9.5,0,0,0,1,1,2.3513752571634776
0,3,25.0,1,0,7.775,0,0,0,1,1,2.1719067693519296
1,2,28.0,0,0,13.0,0,0,0,1,0,2.6390573296152584
1,2,13.0,0,1,19.5,0,0,0,1,0,3.0204248861443626
1,1,34.0,0,0,26.55,0,0,0,1,1,3.3160025355989236
1,3,5.0,2,1,19.2583,0,1,0,0,0,3.0085645861193133
1,1,52.0,0,0,30.5,1,0,0,1,1,3.449987545831587
0,2,36.0,1,2,27.75,0,0,0,1,1,3.3586377672433594
0,1,30.0,0,0,27.75,1,1,0,0,1,3.3586377672433594
1,3,29.0,0,0,7.8958,0,1,0,0,1,2.1855792552411137
1,2,50.0,0,0,10.5,0,0,0,1,0,2.4423470353692043
1,1,48.0,0,0,26.55,1,0,0,1,1,3.3160025355989236
0,3,34.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,1,47.0,0,0,38.5,1,0,0,1,1,3.676300671907076
0,2,48.0,0,0,13.0,0,0,0,1,1,2.6390573296152584
0,3,38.0,0,0,7.05,0,0,0,1,1,2.0856720914304723
0,1,56.0,0,0,26.55,0,0,0,1,1,3.3160025355989236
1,3,0.75,2,1,19.2583,0,1,0,0,0,3.0085645861193133
0,3,38.0,0,0,8.6625,0,0,0,1,1,2.2682524139135403
1,2,33.0,1,2,27.75,0,0,0,1,0,3.3586377672433594
1,2,23.0,0,0,13.7917,1,1,0,0,0,2.694066212646058
0,3,22.0,0,0,9.8375,0,0,0,1,0,2.3830123421066602
0,2,34.0,1,0,21.0,0,0,0,1,1,3.091042453358316
0,3,29.0,1,0,7.0458,0,0,0,1,1,2.0851502161468174
0,3,22.0,0,0,7.5208,0,0,0,1,1,2.142510233146819
1,3,2.0,0,1,12.2875,0,0,0,1,0,2.586823743668066
0,3,9.0,5,2,46.9,0,0,0,1,1,3.8691155044168695
0,3,50.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
1,3,63.0,0,0,9.5875,0,0,0,1,0,2.3596740599781727
0,1,58.0,0,0,29.7,1,1,0,0,1,3.4242626545931514
0,3,30.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
1,3,9.0,1,1,15.9,0,0,0,1,1,2.8273136219290276
0,3,21.0,0,0,7.25,0,0,0,1,1,2.1102132003465894
0,1,55.0,0,0,30.5,1,0,0,1,1,3.449987545831587
0,3,21.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,24.0,0,0,7.7958,0,0,0,1,1,2.174274334826008
0,3,17.0,0,0,8.6625,0,0,0,1,1,2.2682524139135403
0,3,21.0,0,0,7.75,0,0,1,0,0,2.169053700369523
0,3,37.0,0,0,9.5875,0,0,0,1,0,2.3596740599781727
1,2,33.0,0,2,26.0,0,0,0,1,0,3.295836866004329
0,3,28.0,0,0,22.525,0,0,0,1,1,3.1580636854714434
1,3,26.0,0,0,56.4958,0,0,0,1,1,4.05171190165724
1,3,29.0,0,0,7.75,0,0,1,0,1,2.169053700369523
1,1,36.0,0,0,26.2875,1,0,0,1,1,3.3064287218760624
1,1,54.0,1,0,59.4,0,1,0,0,0,4.100989104940769
0,3,24.0,0,0,7.4958,0,0,0,1,1,2.139571923732859
0,1,47.0,0,0,34.0208,1,0,0,1,1,3.5559421706858756
1,2,34.0,0,0,10.5,1,0,0,1,0,2.4423470353692043
1,2,36.0,1,0,26.0,0,0,0,1,0,3.295836866004329
0,3,32.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
0,3,22.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
1,1,44.0,0,1,57.9792,1,1,0,0,0,4.077184839375167
0,3,40.5,0,0,7.75,0,0,1,0,1,2.169053700369523
1,2,50.0,0,0,10.5,0,0,0,1,0,2.4423470353692043
0,3,39.0,0,0,7.925,0,0,0,1,1,2.188856327665703
0,2,23.0,2,1,11.5,0,0,0,1,1,2.5257286443082556
1,2,2.0,1,1,26.0,0,0,0,1,0,3.295836866004329
0,3,17.0,1,1,7.2292,0,1,0,0,1,2.1076888046179385
0,3,30.0,0,0,8.6625,0,0,0,1,0,2.2682524139135403
1,2,7.0,0,2,26.25,0,0,0,1,0,3.305053521109253
0,1,45.0,0,0,26.55,1,0,0,1,1,3.3160025355989236
1,1,22.0,0,2,49.5,1,1,0,0,0,3.9219733362813143
0,3,9.0,4,2,31.275,0,0,0,1,0,3.4742929367327062
0,3,11.0,4,2,31.275,0,0,0,1,0,3.4742929367327062
1,2,32.0,1,0,26.0,0,0,0,1,1,3.295836866004329
0,1,64.0,0,0,26.0,0,0,0,1,1,3.295836866004329
1,2,19.0,1,0,26.0,0,0,0,1,0,3.295836866004329
0,3,33.0,1,1,20.525,0,0,0,1,1,3.0692150503137943
1,2,8.0,1,1,36.75,0,0,0,1,1,3.6309854756950335
0,2,27.0,0,0,26.0,0,0,0,1,1,3.295836866004329
1,3,22.0,0,0,7.225,0,1,0,0,1,2.1071782966514356
1,3,22.0,0,0,7.775,0,0,0,1,0,2.1719067693519296
0,1,62.0,0,0,26.55,0,0,0,1,1,3.3160025355989236
1,1,48.0,1,0,39.6,1,1,0,0,0,3.703768066607687
1,3,36.0,1,0,17.4,0,0,0,1,0,2.91235066461494
0,3,40.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
0,2,28.0,0,0,13.5,0,0,0,1,1,2.6741486494265287
0,3,24.0,2,0,24.15,0,0,0,1,1,3.224857896545748
0,3,19.0,0,0,7.8958,0,0,0,1,1,2.1855792552411137
0,3,29.0,0,4,21.075,0,0,0,1,0,3.0944457464900235
1,3,32.0,0,0,7.8542,0,0,0,1,1,2.180891922715322
1,2,62.0,0,0,10.5,0,0,0,1,1,2.4423470353692043
1,1,53.0,2,0,51.4792,1,0,0,1,0,3.960416900617205
1,1,36.0,0,0,26.3875,1,0,0,1,1,3.3100867049215847
0,3,16.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,19.0,0,0,14.5,0,0,0,1,1,2.740840023925201
1,2,34.0,0,0,13.0,0,0,0,1,0,2.6390573296152584
1,1,39.0,1,0,55.9,1,0,0,1,0,4.041295341132285
1,3,32.0,0,0,7.925,0,0,0,1,1,2.188856327665703
1,2,25.0,1,1,30.0,0,0,0,1,0,3.4339872044851463
0,2,54.0,0,0,26.0,0,0,0,1,1,3.295836866004329
0,1,36.0,0,0,40.125,1,1,0,0,1,3.716616209085536
0,2,47.0,0,0,15.0,0,0,0,1,1,2.772588722239781
0,3,22.0,0,0,8.05,0,0,0,1,1,2.2027647577118348
0,3,35.0,0,0,7.125,0,0,0,1,1,2.094945728215801
0,3,47.0,0,0,7.25,0,0,0,1,1,2.1102132003465894
0,2,37.0,1,0,26.0,0,0,0,1,1,3.295836866004329
